Date,Close/Last,Volume,Open,High,Low
12/23/2024,$195.99,15235940,$194.03,$196.49,$191.63
12/20/2024,$192.96,45319700,$187.01,$194.1354,$186.37
12/19/2024,$189.70,26981200,$193.28,$194.60,$189.52
12/18/2024,$190.15,27638420,$196.83,$198.6899,$189.28
12/17/2024,$197.12,24129480,$198.53,$202.88,$196.69
12/16/2024,$198.16,32248640,$194.365,$200.64,$194.11
12/13/2024,$191.38,18883220,$192.71,$194.34,$191.26
12/12/2024,$193.63,25197760,$196.30,$196.7053,$193.28
12/11/2024,$196.71,41664490,$186.70,$196.89,$186.26
12/10/2024,$186.53,34317440,$184.535,$188.03,$182.67
12/09/2024,$177.10,19887790,$175.715,$178.04,$175.40
12/06/2024,$176.49,13319550,$173.88,$176.8389,$173.55
12/05/2024,$174.31,16145520,$177.32,$177.71,$174.01
12/04/2024,$176.09,18239840,$172.78,$176.43,$172.75
12/03/2024,$173.02,15721480,$173.12,$174.32,$172.51
12/02/2024,$172.98,16593440,$170.32,$173.60,$170.27
11/29/2024,$170.49,9250712,$170.06,$170.87,$168.75
11/27/2024,$170.82,12433370,$170.68,$171.14,$169.67
11/26/2024,$170.62,14937480,$169.49,$171.495,$169.43
11/25/2024,$169.43,21395650,$167.99,$170.46,$167.40
